# WAVELENGTH    FLUX         
  1982.223511   7.164E-15    
  1983.596558   7.6175E-15   
  1984.969482   7.0671E-15   
  1986.342529   8.1618E-15   
  1987.715576   6.184E-15    
  1989.088501   9.3978E-15   
  1990.461548   8.1804E-15   
  1991.834595   7.3618E-15   
  1993.207642   7.878E-15    
  1994.580688   5.7043E-15   
  1995.953735   7.9799E-15   
  1997.326782   1.0004E-14   
  1998.699951   6.5748E-15   
  2000.072998   9.3039E-15   
  2001.446045   9.3024E-15   
  2002.819092   9.0998E-15   
  2004.192261   8.7048E-15   
  2005.565308   7.1293E-15   
  2006.938477   9.5625E-15   
  2008.311646   5.0521E-15   
  2009.684692   8.4515E-15   
  2011.057861   6.4107E-15   
  2012.43103    9.097E-15    
  2013.804077   8.1794E-15   
  2015.177246   8.3131E-15   
  2016.550415   9.0176E-15   
  2017.923584   6.6134E-15   
  2019.296753   6.3989E-15   
  2020.669922   8.4904E-15   
  2022.043213   8.9929E-15   
  2023.416382   9.4556E-15   
  2024.789551   9.1661E-15   
  2026.16272    8.9583E-15   
  2027.536011   8.0011E-15   
  2028.90918    9.2906E-15   
  2030.282471   9.9617E-15   
  2031.65564    9.9901E-15   
  2033.028931   1.0321E-14   
  2034.402222   8.898E-15    
  2035.775391   1.0372E-14   
  2037.148682   9.8275E-15   
  2038.521973   9.9435E-15   
  2039.895264   9.1454E-15   
  2041.268555   8.7875E-15   
  2042.641846   9.2181E-15   
  2044.015137   9.5356E-15   
  2045.388428   1.0098E-14   
  2046.761719   1.1091E-14   
  2048.13501    9.6045E-15   
  2049.508301   1.0555E-14   
  2050.881592   9.5845E-15   
  2052.254883   9.1128E-15   
  2053.628418   1.0364E-14   
  2055.001709   1.0391E-14   
  2056.375      1.0179E-14   
  2057.748291   1.0018E-14   
  2059.121582   9.1139E-15   
  2060.495117   1.0602E-14   
  2061.868408   9.9685E-15   
  2063.241699   1.0076E-14   
  2064.615234   1.1533E-14   
  2065.988525   1.2221E-14   
  2067.362061   1.0927E-14   
  2068.735352   1.0745E-14   
  2070.108887   1.0995E-14   
  2071.482178   1.0994E-14   
  2072.855713   1.0292E-14   
  2074.229004   1.1901E-14   
  2075.602539   1.1838E-14   
  2076.97583    1.1389E-14   
  2078.349365   1.348E-14    
  2079.722656   1.4314E-14   
  2081.096191   1.3081E-14   
  2082.469727   1.2856E-14   
  2083.843018   1.2473E-14   
  2085.216553   1.1693E-14   
  2086.590088   1.4327E-14   
  2087.963623   1.4392E-14   
