# WAVELENGTH    FLUX        
  1984.439453   2.3661E-14  
  1985.812378   2.3663E-14  
  1987.185303   2.3448E-14  
  1988.558228   2.2505E-14  
  1989.931152   2.4571E-14  
  1991.304077   2.4149E-14  
  1992.677124   2.3453E-14  
  1994.050049   2.4426E-14  
  1995.422974   2.8199E-14  
  1996.795898   2.4412E-14  
  1998.168945   2.5301E-14  
  1999.54187    2.6034E-14  
  2000.914917   2.5444E-14  
  2002.287964   2.6279E-14  
  2003.660889   2.5232E-14  
  2005.033936   2.6297E-14  
  2006.406982   2.8109E-14  
  2007.780029   2.5751E-14  
  2009.152954   2.8366E-14  
  2010.526001   2.8483E-14  
  2011.899048   2.9072E-14  
  2013.272095   2.9761E-14  
  2014.645264   2.8718E-14  
  2016.018311   2.7768E-14  
  2017.391357   2.8316E-14  
  2018.764404   2.9468E-14  
  2020.137573   2.995E-14   
  2021.51062    3.1606E-14  
  2022.883667   3.1778E-14  
  2024.256836   3.2313E-14  
  2025.630005   2.7562E-14  
  2027.003052   3.1539E-14  
  2028.376221   3.3574E-14  
  2029.74939    3.2944E-14  
  2031.122437   3.5876E-14  
  2032.495605   3.6499E-14  
  2033.868774   3.3981E-14  
  2035.241943   3.3397E-14  
  2036.615112   3.5676E-14  
  2037.988281   3.6432E-14  
  2039.36145    3.5751E-14  
  2040.734619   3.8087E-14  
  2042.107788   3.8455E-14  
  2043.481079   3.9805E-14  
  2044.854248   4.0107E-14  
  2046.227417   4.1074E-14  
  2047.600708   4.0357E-14  
  2048.973877   3.9345E-14  
  2050.347168   3.856E-14   
  2051.720459   3.869E-14   
  2053.093506   3.9427E-14  
  2054.466797   3.8179E-14  
  2055.840088   3.893E-14   
  2057.213379   3.6632E-14  
  2058.58667    3.3929E-14  
  2059.959961   3.8029E-14  
  2061.333252   3.6782E-14  
  2062.706543   3.7424E-14  
  2064.079834   3.8187E-14  
  2065.453125   3.8802E-14  
  2066.826416   3.8601E-14  
  2068.199707   3.9818E-14  
  2069.572998   4.116E-14   
  2070.946289   4.1874E-14  
  2072.31958    4.2927E-14  
  2073.692871   4.3776E-14  
